,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
13,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021601034,2017-03-18T00:00:00,DEN vs. HOU,L,21.58,7,14,0.5,1,2,0.5,1,1,1.0,2,3,5,4,3,0,1,1,5,2,16,6,28.0,0,0,28.0,1,38,38,38,56,30,23,50,12,26,13,45,52,1,38,63,60,36,17,40,14,39,62,42,39,31,53,40,7,48,1,21:35
14,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021601018,2017-03-16T00:00:00,DEN vs. LAC,W,30.416666666666668,7,12,0.583,0,1,0.0,3,3,1.0,3,11,14,10,2,0,0,1,2,2,17,7,46.8,1,1,41.0,1,1,1,1,29,30,32,37,34,46,34,24,31,1,20,8,10,4,31,40,36,39,13,42,34,29,24,1,1,26,1,30:25
15,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600998,2017-03-13T00:00:00,DEN vs. LAL,W,24.016666666666666,8,13,0.615,0,3,0.0,2,2,1.0,1,8,9,4,1,1,0,1,2,1,18,16,36.8,0,0,33.0,1,1,1,1,49,20,28,31,34,10,34,33,37,1,54,23,42,36,48,14,36,39,13,59,30,16,41,40,7,41,1,24:01
16,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600984,2017-03-11T00:00:00,DEN @ SAC,W,30.2,7,12,0.583,1,3,0.333,5,5,1.0,3,11,14,2,2,2,0,0,1,4,20,14,43.8,1,0,41.0,1,1,1,1,30,30,32,37,12,10,27,9,14,1,20,8,10,58,31,6,36,1,2,19,24,19,29,1,7,26,1,30:12
17,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600970,2017-03-10T00:00:00,DEN vs. BOS,W,26.85,8,10,0.8,1,2,0.5,4,6,0.667,3,7,10,7,7,4,1,0,4,7,21,8,51.5,1,0,49.0,1,1,1,1,42,20,42,6,12,26,13,16,8,41,20,31,35,16,1,2,14,1,51,4,21,26,17,1,7,16,1,26:51
18,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600923,2017-03-04T00:00:00,DEN vs. CHA,L,32.916666666666664,13,15,0.867,0,0,0.0,5,8,0.625,3,11,14,4,4,1,0,0,1,4,31,-1,52.8,1,0,51.0,1,38,38,38,23,3,19,3,34,54,34,9,4,46,20,8,10,36,8,14,36,1,2,19,3,47,15,1,7,12,1,32:55
19,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600899,2017-03-01T00:00:00,DEN @ MIL,W,29.683333333333334,6,10,0.6,0,0,0.0,1,2,0.5,4,10,14,10,3,1,0,2,1,2,13,17,44.8,1,1,39.0,1,1,1,1,32,39,42,32,34,54,34,45,37,48,14,14,10,4,17,14,36,62,2,42,45,14,27,1,1,29,1,29:41
20,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600891,2017-02-28T00:00:00,DEN @ CHI,W,32.733333333333334,6,10,0.6,3,3,1.0,4,4,1.0,2,14,16,10,3,0,1,1,1,2,19,19,53.2,1,1,50.0,1,1,1,1,24,39,42,32,1,10,1,16,22,1,38,3,5,4,17,40,14,39,2,42,26,8,14,1,1,14,1,32:44
21,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600876,2017-02-26T00:00:00,DEN vs. MEM,L,33.333333333333336,5,11,0.455,0,2,0.0,0,0,0.0,2,9,11,6,2,1,1,0,3,2,10,4,36.2,1,0,31.0,1,38,38,38,22,47,36,61,34,26,34,56,57,56,38,19,27,20,31,14,14,1,29,42,54,40,42,1,7,44,1,33:20
22,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021600864,2017-02-24T00:00:00,DEN vs. BKN,W,14.783333333333333,1,1,1.0,0,0,0.0,0,0,0.0,3,2,5,7,4,1,1,0,4,2,2,6,20.5,0,0,18.0,1,1,1,1,72,71,73,1,34,54,34,56,57,56,20,67,60,16,8,14,14,1,51,42,72,31,62,40,7,62,1,14:47
