,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
0,2017-18,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021701225,2018-04-11T00:00:00,DEN @ MIN,L,46.413333333333334,14,25,0.56,4,7,0.571,3,4,0.75,2,8,10,3,3,1,0,1,4,5,35,6,51.5,1,0,54.0,1,44,44,44,2,2,1,27,2,5,18,39,32,46,37,26,39,61,22,27,44,40,51,26,3,34,23,1,11,12,1,46:25
1,2017-18,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021701211,2018-04-09T00:00:00,DEN vs. POR,W,38.071666666666665,5,14,0.357,1,4,0.25,4,4,1.0,2,18,20,11,2,2,1,0,2,5,15,18,62.5,1,1,53.0,1,1,1,1,8,43,31,61,31,29,51,27,32,1,37,1,1,3,33,8,15,1,14,26,46,9,8,1,1,14,2,38:04
2,2017-18,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021701191,2018-04-07T00:00:00,DEN @ LAC,W,34.31666666666667,9,14,0.643,1,2,0.5,4,5,0.8,2,9,11,11,2,2,1,0,2,3,23,11,59.7,1,1,52.0,1,1,1,1,30,16,31,11,31,52,19,27,28,43,37,21,32,3,33,8,15,1,14,57,18,21,10,1,1,16,1,34:19
3,2017-18,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021701180,2018-04-05T00:00:00,DEN vs. MIN,W,35.62,6,20,0.3,1,6,0.167,3,3,1.0,3,11,14,9,2,1,1,0,5,4,16,1,50.3,1,0,44.0,1,1,1,1,21,38,11,65,31,7,58,39,42,1,22,11,13,14,33,27,15,1,67,46,43,47,25,1,11,28,1,35:37
4,2017-18,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021701165,2018-04-03T00:00:00,DEN vs. IND,W,38.07,11,17,0.647,4,6,0.667,4,6,0.667,1,5,6,7,4,4,1,0,3,7,30,9,58.7,0,0,57.0,1,1,1,1,9,7,15,9,2,7,11,27,17,53,51,65,68,23,15,1,15,1,31,12,6,27,12,39,11,9,1,38:04
5,2017-18,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021701152,2018-04-01T00:00:00,DEN vs. MIL,W,43.88166666666667,14,24,0.583,2,5,0.4,5,5,1.0,1,12,13,5,4,0,3,0,4,9,35,5,63.1,1,0,61.0,1,1,1,1,3,2,3,20,13,17,33,16,28,1,51,8,18,37,15,55,1,1,51,6,3,38,7,1,11,5,1,43:53
6,2017-18,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021701133,2018-03-30T00:00:00,DEN @ OKC,W,41.12,11,22,0.5,1,6,0.167,0,0,0.0,1,15,16,6,4,1,2,0,3,4,23,11,56.2,1,0,52.0,1,1,1,1,5,7,5,36,31,7,58,63,65,63,51,2,5,30,15,27,5,1,31,46,18,21,15,1,11,16,1,41:07
7,2017-18,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021701109,2018-03-27T00:00:00,DEN @ TOR,L,40.14833333333333,11,21,0.524,3,7,0.429,4,4,1.0,6,10,16,8,3,2,1,1,2,5,29,4,66.2,1,0,62.0,1,44,44,44,6,7,7,35,7,5,32,27,32,1,3,15,5,16,22,8,15,40,14,26,8,44,5,1,11,4,1,40:09
8,2017-18,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021701105,2018-03-26T00:00:00,DEN @ PHI,L,30.713333333333335,4,14,0.286,1,2,0.5,5,6,0.833,3,4,7,4,2,1,1,1,4,6,14,-6,32.4,0,0,30.0,1,44,44,44,51,55,31,69,31,52,19,16,17,37,22,71,57,52,33,27,15,40,51,18,50,60,54,39,11,58,1,30:43
9,2017-18,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021701079,2018-03-23T00:00:00,DEN @ WAS,W,37.28333333333333,10,21,0.476,3,6,0.5,2,2,1.0,0,8,8,5,2,0,1,0,2,4,25,12,43.1,0,0,43.0,1,1,1,1,13,14,7,42,7,7,19,47,49,1,68,26,54,37,33,55,15,1,14,46,16,18,38,39,11,31,1,37:17
